> initializing torch distributed ...
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/ogbn-products/microsoft/deberta-base-seed0.emb
ogbn-products load successfully
Train nodes: 14708, Val nodes: 1572, Test nodes: 37745
Num of train batches: 1, num of train microbatches: 1, microbatch size: 54025
stage=0 layers=0 - 28
Training...
stage=3 layers=84 - 112
stage=1 layers=28 - 56
stage=2 layers=56 - 84
Epoch 00157 | Loss 0.2081 | Avg Epoch Time 2.7226s
Epoch 00158 | Loss 0.2154 | Avg Epoch Time 2.7226s
Epoch 00159 | Loss 0.2158 | Avg Epoch Time 2.7225s
Epoch 00160 | Loss 0.2214 | Avg Epoch Time 2.7225s
Epoch 00160 | Valid acc: 89.19% | Test acc: 77.58%
Epoch 00161 | Loss 0.2278 | Avg Epoch Time 2.7225s
Epoch 00162 | Loss 0.2199 | Avg Epoch Time 2.7224s
Epoch 00163 | Loss 0.2109 | Avg Epoch Time 2.7226s
Epoch 00164 | Loss 0.2080 | Avg Epoch Time 2.7226s
Epoch 00165 | Loss 0.2065 | Avg Epoch Time 2.7232s
Epoch 00165 | Valid acc: 89.50% | Test acc: 77.17%
Epoch 00166 | Loss 0.1977 | Avg Epoch Time 2.7232s
Epoch 00167 | Loss 0.2024 | Avg Epoch Time 2.7231s
Epoch 00168 | Loss 0.2037 | Avg Epoch Time 2.7230s
Epoch 00169 | Loss 0.1999 | Avg Epoch Time 2.7229s
Epoch 00170 | Loss 0.2094 | Avg Epoch Time 2.7229s
Epoch 00170 | Valid acc: 89.38% | Test acc: 76.72%
Epoch 00171 | Loss 0.2021 | Avg Epoch Time 2.7229s
Epoch 00172 | Loss 0.2004 | Avg Epoch Time 2.7231s
Epoch 00173 | Loss 0.1919 | Avg Epoch Time 2.7230s
Epoch 00174 | Loss 0.1945 | Avg Epoch Time 2.7230s
Epoch 00175 | Loss 0.1894 | Avg Epoch Time 2.7229s
Epoch 00175 | Valid acc: 89.69% | Test acc: 77.87%
Epoch 00176 | Loss 0.1793 | Avg Epoch Time 2.7235s
Epoch 00177 | Loss 0.1850 | Avg Epoch Time 2.7234s
Epoch 00178 | Loss 0.1828 | Avg Epoch Time 2.7233s
Epoch 00179 | Loss 0.1837 | Avg Epoch Time 2.7233s
Epoch 00180 | Loss 0.1845 | Avg Epoch Time 2.7232s
Epoch 00180 | Valid acc: 89.06% | Test acc: 76.95%
Epoch 00181 | Loss 0.1877 | Avg Epoch Time 2.7232s
Epoch 00182 | Loss 0.1937 | Avg Epoch Time 2.7231s
Epoch 00183 | Loss 0.1911 | Avg Epoch Time 2.7231s
Epoch 00184 | Loss 0.1909 | Avg Epoch Time 2.7236s
Epoch 00185 | Loss 0.2343 | Avg Epoch Time 2.7236s
Epoch 00185 | Valid acc: 89.44% | Test acc: 76.80%
Epoch 00186 | Loss 0.2092 | Avg Epoch Time 2.7236s
Epoch 00187 | Loss 0.1950 | Avg Epoch Time 2.7235s
Epoch 00188 | Loss 0.2135 | Avg Epoch Time 2.7234s
Epoch 00189 | Loss 0.2233 | Avg Epoch Time 2.7234s
Epoch 00190 | Loss 0.2492 | Avg Epoch Time 2.7234s
Epoch 00190 | Valid acc: 89.31% | Test acc: 75.17%
Epoch 00191 | Loss 0.2208 | Avg Epoch Time 2.7233s
Epoch 00192 | Loss 0.2221 | Avg Epoch Time 2.7233s
Epoch 00193 | Loss 0.2073 | Avg Epoch Time 2.7233s
Epoch 00194 | Loss 0.2031 | Avg Epoch Time 2.7232s
Epoch 00195 | Loss 0.2087 | Avg Epoch Time 2.7232s
Epoch 00195 | Valid acc: 89.44% | Test acc: 76.71%
Epoch 00196 | Loss 0.2003 | Avg Epoch Time 2.7232s
Epoch 00197 | Loss 0.1870 | Avg Epoch Time 2.7231s
Epoch 00198 | Loss 0.1938 | Avg Epoch Time 2.7231s
Epoch 00199 | Loss 0.1931 | Avg Epoch Time 2.7231s
Epoch 00200 | Loss 0.1862 | Avg Epoch Time 2.7230s
Epoch 00200 | Valid acc: 89.38% | Test acc: 77.42%
Epoch 00201 | Loss 0.1748 | Avg Epoch Time 2.7230s
Epoch 00202 | Loss 0.1825 | Avg Epoch Time 2.7230s
Epoch 00203 | Loss 0.1728 | Avg Epoch Time 2.7229s
Epoch 00204 | Loss 0.1757 | Avg Epoch Time 2.7229s
Epoch 00205 | Loss 0.1701 | Avg Epoch Time 2.7229s
Epoch 00205 | Valid acc: 89.69% | Test acc: 77.09%
Epoch 00206 | Loss 0.1669 | Avg Epoch Time 2.7229s
Epoch 00207 | Loss 0.1618 | Avg Epoch Time 2.7228s
Epoch 00208 | Loss 0.1664 | Avg Epoch Time 2.7228s
Epoch 00209 | Loss 0.1576 | Avg Epoch Time 2.7229s
Epoch 00210 | Loss 0.1636 | Avg Epoch Time 2.7229s
Epoch 00210 | Valid acc: 89.06% | Test acc: 76.35%
Epoch 00211 | Loss 0.1664 | Avg Epoch Time 2.7229s
Epoch 00212 | Loss 0.1647 | Avg Epoch Time 2.7229s
Epoch 00213 | Loss 0.1800 | Avg Epoch Time 2.7230s
Epoch 00214 | Loss 0.1780 | Avg Epoch Time 2.7229s
Epoch 00215 | Loss 0.1655 | Avg Epoch Time 2.7229s
Epoch 00215 | Valid acc: 89.19% | Test acc: 75.88%
Epoch 00216 | Loss 0.1785 | Avg Epoch Time 2.7228s
Epoch 00217 | Loss 0.1840 | Avg Epoch Time 2.7228s
Epoch 00218 | Loss 0.2031 | Avg Epoch Time 2.7232s
Epoch 00219 | Loss 0.1723 | Avg Epoch Time 2.7232s
Epoch 00220 | Loss 0.1790 | Avg Epoch Time 2.7232s
Epoch 00220 | Valid acc: 89.95% | Test acc: 77.90%
Epoch 00221 | Loss 0.1599 | Avg Epoch Time 2.7232s
Epoch 00222 | Loss 0.1710 | Avg Epoch Time 2.7233s
Epoch 00223 | Loss 0.1559 | Avg Epoch Time 2.7233s
Epoch 00224 | Loss 0.1570 | Avg Epoch Time 2.7234s
Epoch 00225 | Loss 0.1534 | Avg Epoch Time 2.7234s
Epoch 00225 | Valid acc: 90.08% | Test acc: 77.98%
Epoch 00226 | Loss 0.1467 | Avg Epoch Time 2.7238s
Epoch 00227 | Loss 0.1473 | Avg Epoch Time 2.7240s
Epoch 00228 | Loss 0.1485 | Avg Epoch Time 2.7240s
Epoch 00229 | Loss 0.1410 | Avg Epoch Time 2.7240s
Epoch 00230 | Loss 0.1421 | Avg Epoch Time 2.7240s
Epoch 00230 | Valid acc: 89.82% | Test acc: 77.04%
Epoch 00231 | Loss 0.1352 | Avg Epoch Time 2.7240s
Epoch 00232 | Loss 0.1324 | Avg Epoch Time 2.7240s
Epoch 00233 | Loss 0.1335 | Avg Epoch Time 2.7240s
Epoch 00234 | Loss 0.1279 | Avg Epoch Time 2.7240s
Epoch 00235 | Loss 0.1273 | Avg Epoch Time 2.7240s
Epoch 00235 | Valid acc: 89.82% | Test acc: 77.85%
Epoch 00236 | Loss 0.1265 | Avg Epoch Time 2.7242s
Epoch 00237 | Loss 0.1267 | Avg Epoch Time 2.7242s
Epoch 00238 | Loss 0.1254 | Avg Epoch Time 2.7242s
Epoch 00239 | Loss 0.1243 | Avg Epoch Time 2.7242s
Epoch 00240 | Loss 0.1247 | Avg Epoch Time 2.7242s
Epoch 00240 | Valid acc: 89.12% | Test acc: 76.85%
Epoch 00241 | Loss 0.1319 | Avg Epoch Time 2.7242s
Epoch 00242 | Loss 0.1415 | Avg Epoch Time 2.7242s
Epoch 00243 | Loss 0.1438 | Avg Epoch Time 2.7242s
Epoch 00244 | Loss 0.1636 | Avg Epoch Time 2.7242s
Epoch 00245 | Loss 0.1526 | Avg Epoch Time 2.7242s
Epoch 00245 | Valid acc: 87.40% | Test acc: 78.09%
Epoch 00246 | Loss 0.1928 | Avg Epoch Time 2.7242s
Epoch 00247 | Loss 0.1834 | Avg Epoch Time 2.7242s
Epoch 00248 | Loss 0.1768 | Avg Epoch Time 2.7242s
Epoch 00249 | Loss 0.1581 | Avg Epoch Time 2.7242s
Epoch 00250 | Loss 0.1676 | Avg Epoch Time 2.7242s
Epoch 00250 | Valid acc: 89.06% | Test acc: 77.41%
Epoch 00251 | Loss 0.1684 | Avg Epoch Time 2.7242s
Epoch 00252 | Loss 0.1813 | Avg Epoch Time 2.7242s
Epoch 00253 | Loss 0.1743 | Avg Epoch Time 2.7242s
Epoch 00254 | Loss 0.1666 | Avg Epoch Time 2.7242s
Epoch 00255 | Loss 0.1586 | Avg Epoch Time 2.7242s
Epoch 00255 | Valid acc: 89.57% | Test acc: 78.55%
Epoch 00256 | Loss 0.1548 | Avg Epoch Time 2.7242s
