> initializing torch distributed ...
stage=3 layers = 84-112
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/pubmed/microsoft/deberta-base-seed0.emb
pubmed load successfully
Train nodes: 11830, Val nodes: 3943, Test nodes: 3944
Num of train batches: 1, num of train microbatches: 1, microbatch size: 19717

Number of parameters: 1949507
stage=0 layers = 0-28
stage=1 layers = 28-56
stage=2 layers = 56-84
Training...
Epoch 00129 | Loss 0.1362 | Avg Epoch Time 0.1832s
Epoch 00130 | Loss 0.1347 | Avg Epoch Time 0.1832s
Epoch 00130 | Valid acc: 94.70% | Test acc: 94.30%
Epoch 00131 | Loss 0.1364 | Avg Epoch Time 0.1832s
Epoch 00132 | Loss 0.1347 | Avg Epoch Time 0.1832s
Epoch 00133 | Loss 0.1327 | Avg Epoch Time 0.1832s
Epoch 00134 | Loss 0.1349 | Avg Epoch Time 0.1832s
Epoch 00135 | Loss 0.1379 | Avg Epoch Time 0.1832s
Epoch 00135 | Valid acc: 94.72% | Test acc: 94.27%
Epoch 00136 | Loss 0.1293 | Avg Epoch Time 0.1832s
Epoch 00137 | Loss 0.1329 | Avg Epoch Time 0.1832s
Epoch 00138 | Loss 0.1398 | Avg Epoch Time 0.1832s
Epoch 00139 | Loss 0.1409 | Avg Epoch Time 0.1832s
Epoch 00140 | Loss 0.1328 | Avg Epoch Time 0.1833s
Epoch 00140 | Valid acc: 94.85% | Test acc: 94.32%
Epoch 00141 | Loss 0.1336 | Avg Epoch Time 0.1833s
Epoch 00142 | Loss 0.1313 | Avg Epoch Time 0.1833s
Epoch 00143 | Loss 0.1340 | Avg Epoch Time 0.1833s
Epoch 00144 | Loss 0.1308 | Avg Epoch Time 0.1833s
Epoch 00145 | Loss 0.1320 | Avg Epoch Time 0.1833s
Epoch 00145 | Valid acc: 94.65% | Test acc: 94.30%
Epoch 00146 | Loss 0.1311 | Avg Epoch Time 0.1833s
Epoch 00147 | Loss 0.1357 | Avg Epoch Time 0.1833s
Epoch 00148 | Loss 0.1349 | Avg Epoch Time 0.1833s
Epoch 00149 | Loss 0.1277 | Avg Epoch Time 0.1833s
Epoch 00150 | Loss 0.1301 | Avg Epoch Time 0.1833s
Epoch 00150 | Valid acc: 94.70% | Test acc: 94.12%
Epoch 00151 | Loss 0.1261 | Avg Epoch Time 0.1833s
Epoch 00152 | Loss 0.1290 | Avg Epoch Time 0.1833s
Epoch 00153 | Loss 0.1260 | Avg Epoch Time 0.1833s
Epoch 00154 | Loss 0.1261 | Avg Epoch Time 0.1833s
Epoch 00155 | Loss 0.1271 | Avg Epoch Time 0.1833s
Epoch 00155 | Valid acc: 94.55% | Test acc: 94.19%
Epoch 00156 | Loss 0.1310 | Avg Epoch Time 0.1833s
Epoch 00157 | Loss 0.1307 | Avg Epoch Time 0.1833s
Epoch 00158 | Loss 0.1313 | Avg Epoch Time 0.1834s
Epoch 00159 | Loss 0.1286 | Avg Epoch Time 0.1834s
Epoch 00160 | Loss 0.1275 | Avg Epoch Time 0.1834s
Epoch 00160 | Valid acc: 94.83% | Test acc: 94.42%
Epoch 00161 | Loss 0.1265 | Avg Epoch Time 0.1834s
Epoch 00162 | Loss 0.1324 | Avg Epoch Time 0.1834s
Epoch 00163 | Loss 0.1285 | Avg Epoch Time 0.1834s
Epoch 00164 | Loss 0.1348 | Avg Epoch Time 0.1834s
Epoch 00165 | Loss 0.1604 | Avg Epoch Time 0.1834s
Epoch 00165 | Valid acc: 94.90% | Test acc: 94.40%
Epoch 00166 | Loss 0.1395 | Avg Epoch Time 0.1834s
Epoch 00167 | Loss 0.1488 | Avg Epoch Time 0.1834s
Epoch 00168 | Loss 0.1357 | Avg Epoch Time 0.1834s
Epoch 00169 | Loss 0.1446 | Avg Epoch Time 0.1834s
Epoch 00170 | Loss 0.1412 | Avg Epoch Time 0.1834s
Epoch 00170 | Valid acc: 94.98% | Test acc: 94.62%
Epoch 00171 | Loss 0.1432 | Avg Epoch Time 0.1834s
Epoch 00172 | Loss 0.1355 | Avg Epoch Time 0.1834s
Epoch 00173 | Loss 0.1352 | Avg Epoch Time 0.1834s
Epoch 00174 | Loss 0.1344 | Avg Epoch Time 0.1834s
Epoch 00175 | Loss 0.1332 | Avg Epoch Time 0.1834s
Epoch 00175 | Valid acc: 94.95% | Test acc: 94.35%
Epoch 00176 | Loss 0.1296 | Avg Epoch Time 0.1834s
Epoch 00177 | Loss 0.1309 | Avg Epoch Time 0.1834s
Epoch 00178 | Loss 0.1288 | Avg Epoch Time 0.1834s
Epoch 00179 | Loss 0.1297 | Avg Epoch Time 0.1834s
Epoch 00180 | Loss 0.1279 | Avg Epoch Time 0.1834s
Epoch 00180 | Valid acc: 94.90% | Test acc: 94.22%
Epoch 00181 | Loss 0.1291 | Avg Epoch Time 0.1834s
Epoch 00182 | Loss 0.1274 | Avg Epoch Time 0.1834s
Epoch 00183 | Loss 0.1266 | Avg Epoch Time 0.1835s
Epoch 00184 | Loss 0.1268 | Avg Epoch Time 0.1835s
Epoch 00185 | Loss 0.1238 | Avg Epoch Time 0.1835s
Epoch 00185 | Valid acc: 94.67% | Test acc: 94.37%
Epoch 00186 | Loss 0.1236 | Avg Epoch Time 0.1835s
Epoch 00187 | Loss 0.1228 | Avg Epoch Time 0.1835s
Epoch 00188 | Loss 0.1248 | Avg Epoch Time 0.1835s
Epoch 00189 | Loss 0.1208 | Avg Epoch Time 0.1835s
Epoch 00190 | Loss 0.1214 | Avg Epoch Time 0.1835s
Epoch 00190 | Valid acc: 94.65% | Test acc: 94.22%
Epoch 00191 | Loss 0.1233 | Avg Epoch Time 0.1835s
Epoch 00192 | Loss 0.1185 | Avg Epoch Time 0.1835s
Epoch 00193 | Loss 0.1231 | Avg Epoch Time 0.1835s
Epoch 00194 | Loss 0.1193 | Avg Epoch Time 0.1835s
Epoch 00195 | Loss 0.1183 | Avg Epoch Time 0.1835s
Epoch 00195 | Valid acc: 94.88% | Test acc: 94.30%
Epoch 00196 | Loss 0.1165 | Avg Epoch Time 0.1835s
Epoch 00197 | Loss 0.1176 | Avg Epoch Time 0.1835s
Epoch 00198 | Loss 0.1176 | Avg Epoch Time 0.1835s
Epoch 00199 | Loss 0.1152 | Avg Epoch Time 0.1835s
Epoch 00200 | Loss 0.1173 | Avg Epoch Time 0.1835s
Epoch 00200 | Valid acc: 94.93% | Test acc: 94.35%
Epoch 00201 | Loss 0.1146 | Avg Epoch Time 0.1835s
Epoch 00202 | Loss 0.1166 | Avg Epoch Time 0.1835s
Epoch 00203 | Loss 0.1161 | Avg Epoch Time 0.1835s
Epoch 00204 | Loss 0.1172 | Avg Epoch Time 0.1835s
Epoch 00205 | Loss 0.1229 | Avg Epoch Time 0.1835s
