Epoch 00080 | Valid acc: 38.78% | Test acc: 35.83%
Epoch 00081 | Loss 2.3064 | Avg Epoch Time 3.17s
Epoch 00082 | Loss 2.2961 | Avg Epoch Time 3.17s
Epoch 00083 | Loss 2.3146 | Avg Epoch Time 3.17s
Epoch 00084 | Loss 2.2913 | Avg Epoch Time 3.17s
Epoch 00085 | Loss 2.2597 | Avg Epoch Time 3.17s
Epoch 00085 | Valid acc: 39.38% | Test acc: 36.02%
Epoch 00086 | Loss 2.2884 | Avg Epoch Time 3.17s
Epoch 00087 | Loss 2.2616 | Avg Epoch Time 3.17s
Epoch 00088 | Loss 2.2270 | Avg Epoch Time 3.17s
Epoch 00089 | Loss 2.2426 | Avg Epoch Time 3.17s
Epoch 00090 | Loss 2.2095 | Avg Epoch Time 3.17s
Epoch 00090 | Valid acc: 41.54% | Test acc: 38.76%
Epoch 00091 | Loss 2.2146 | Avg Epoch Time 3.17s
Epoch 00092 | Loss 2.2090 | Avg Epoch Time 3.17s
Epoch 00093 | Loss 2.1747 | Avg Epoch Time 3.17s
Epoch 00094 | Loss 2.1913 | Avg Epoch Time 3.17s
Epoch 00095 | Loss 2.1822 | Avg Epoch Time 3.17s
Epoch 00095 | Valid acc: 44.29% | Test acc: 42.20%
Epoch 00096 | Loss 2.1568 | Avg Epoch Time 3.17s
Epoch 00097 | Loss 2.1707 | Avg Epoch Time 3.17s
Epoch 00098 | Loss 2.1489 | Avg Epoch Time 3.17s
Epoch 00099 | Loss 2.1457 | Avg Epoch Time 3.17s
Epoch 00100 | Loss 2.1516 | Avg Epoch Time 3.17s
Epoch 00100 | Valid acc: 45.23% | Test acc: 43.65%
Epoch 00101 | Loss 2.1230 | Avg Epoch Time 3.17s
Epoch 00102 | Loss 2.1356 | Avg Epoch Time 3.17s
Epoch 00103 | Loss 2.1281 | Avg Epoch Time 3.17s
Epoch 00104 | Loss 2.1134 | Avg Epoch Time 3.17s
Epoch 00105 | Loss 2.1180 | Avg Epoch Time 3.17s
Epoch 00105 | Valid acc: 46.04% | Test acc: 44.76%
Epoch 00106 | Loss 2.0993 | Avg Epoch Time 3.17s
Epoch 00107 | Loss 2.1055 | Avg Epoch Time 3.17s
Epoch 00108 | Loss 2.0917 | Avg Epoch Time 3.17s
Epoch 00109 | Loss 2.0939 | Avg Epoch Time 3.17s
Epoch 00110 | Loss 2.0769 | Avg Epoch Time 3.17s
Epoch 00110 | Valid acc: 45.62% | Test acc: 42.99%
Epoch 00111 | Loss 2.0708 | Avg Epoch Time 3.17s
Epoch 00112 | Loss 2.0673 | Avg Epoch Time 3.17s
Epoch 00113 | Loss 2.0544 | Avg Epoch Time 3.17s
Epoch 00114 | Loss 2.0676 | Avg Epoch Time 3.17s
Epoch 00115 | Loss 2.0514 | Avg Epoch Time 3.17s
Epoch 00115 | Valid acc: 46.04% | Test acc: 43.88%
Epoch 00116 | Loss 2.0585 | Avg Epoch Time 3.17s
Epoch 00117 | Loss 2.0487 | Avg Epoch Time 3.17s
Epoch 00118 | Loss 2.0305 | Avg Epoch Time 3.17s
Epoch 00119 | Loss 2.0548 | Avg Epoch Time 3.17s
Epoch 00120 | Loss 2.0166 | Avg Epoch Time 3.17s
Epoch 00120 | Valid acc: 45.14% | Test acc: 41.62%
Epoch 00121 | Loss 2.0820 | Avg Epoch Time 3.17s
Epoch 00122 | Loss 2.0457 | Avg Epoch Time 3.17s
Epoch 00123 | Loss 2.0376 | Avg Epoch Time 3.17s
Epoch 00124 | Loss 2.0337 | Avg Epoch Time 3.17s
Epoch 00125 | Loss 2.0370 | Avg Epoch Time 3.17s
Epoch 00125 | Valid acc: 46.17% | Test acc: 43.60%
Epoch 00126 | Loss 2.0295 | Avg Epoch Time 3.17s
Epoch 00127 | Loss 2.0121 | Avg Epoch Time 3.17s
Epoch 00128 | Loss 2.0016 | Avg Epoch Time 3.17s
Epoch 00129 | Loss 1.9963 | Avg Epoch Time 3.17s
Epoch 00130 | Loss 2.0198 | Avg Epoch Time 3.17s
Epoch 00130 | Valid acc: 47.48% | Test acc: 45.17%
Epoch 00131 | Loss 1.9825 | Avg Epoch Time 3.17s
Epoch 00132 | Loss 2.0312 | Avg Epoch Time 3.17s
Epoch 00133 | Loss 2.0095 | Avg Epoch Time 3.17s
Epoch 00134 | Loss 1.9922 | Avg Epoch Time 3.17s
Epoch 00135 | Loss 1.9963 | Avg Epoch Time 3.17s
Epoch 00135 | Valid acc: 46.48% | Test acc: 43.11%
Epoch 00136 | Loss 1.9882 | Avg Epoch Time 3.17s
Epoch 00137 | Loss 1.9726 | Avg Epoch Time 3.17s
Epoch 00138 | Loss 1.9876 | Avg Epoch Time 3.17s
Epoch 00139 | Loss 1.9628 | Avg Epoch Time 3.17s
Epoch 00140 | Loss 1.9739 | Avg Epoch Time 3.17s
Epoch 00140 | Valid acc: 46.63% | Test acc: 43.30%
Epoch 00141 | Loss 1.9711 | Avg Epoch Time 3.17s
Epoch 00142 | Loss 1.9561 | Avg Epoch Time 3.17s
Epoch 00143 | Loss 1.9461 | Avg Epoch Time 3.17s
Epoch 00144 | Loss 1.9607 | Avg Epoch Time 3.17s
Epoch 00145 | Loss 1.9223 | Avg Epoch Time 3.17s
Epoch 00145 | Valid acc: 47.74% | Test acc: 44.39%
Epoch 00146 | Loss 1.9462 | Avg Epoch Time 3.17s
Epoch 00147 | Loss 1.9242 | Avg Epoch Time 3.17s
Epoch 00148 | Loss 1.9224 | Avg Epoch Time 3.17s
Epoch 00149 | Loss 1.9187 | Avg Epoch Time 3.17s
Epoch 00150 | Loss 1.8946 | Avg Epoch Time 3.17s
Epoch 00150 | Valid acc: 48.06% | Test acc: 43.97%
Epoch 00151 | Loss 1.9242 | Avg Epoch Time 3.17s
Epoch 00152 | Loss 1.9108 | Avg Epoch Time 3.17s
Epoch 00153 | Loss 1.9029 | Avg Epoch Time 3.17s
Epoch 00154 | Loss 1.8964 | Avg Epoch Time 3.17s
Epoch 00155 | Loss 1.9025 | Avg Epoch Time 3.17s
Epoch 00155 | Valid acc: 50.47% | Test acc: 47.88%
Epoch 00156 | Loss 1.8622 | Avg Epoch Time 3.17s
Epoch 00157 | Loss 1.8899 | Avg Epoch Time 3.17s
Epoch 00158 | Loss 1.8725 | Avg Epoch Time 3.17s
Epoch 00159 | Loss 1.8838 | Avg Epoch Time 3.17s
Epoch 00160 | Loss 1.8584 | Avg Epoch Time 3.17s
Epoch 00160 | Valid acc: 50.11% | Test acc: 47.61%
Epoch 00161 | Loss 1.8637 | Avg Epoch Time 3.17s
Epoch 00162 | Loss 1.8468 | Avg Epoch Time 3.17s
Epoch 00163 | Loss 1.8508 | Avg Epoch Time 3.17s
Epoch 00164 | Loss 1.8536 | Avg Epoch Time 3.17s
Epoch 00165 | Loss 1.8140 | Avg Epoch Time 3.17s
Epoch 00165 | Valid acc: 50.71% | Test acc: 47.23%
Epoch 00166 | Loss 1.8429 | Avg Epoch Time 3.17s
Epoch 00167 | Loss 1.8119 | Avg Epoch Time 3.17s
Epoch 00168 | Loss 1.8409 | Avg Epoch Time 3.17s
Epoch 00169 | Loss 1.8247 | Avg Epoch Time 3.17s
Epoch 00170 | Loss 1.8124 | Avg Epoch Time 3.17s
Epoch 00170 | Valid acc: 51.53% | Test acc: 47.92%
Epoch 00171 | Loss 1.8012 | Avg Epoch Time 3.17s
Epoch 00172 | Loss 1.8059 | Avg Epoch Time 3.17s
Epoch 00173 | Loss 1.8076 | Avg Epoch Time 3.17s
