#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1152576                     667555                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          89                23                N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1648034                     1136935                     
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1647435                     1131308                     
GPU 0     0.686        0.393        89                23                0.185        0                           0                           18132189                    149949998                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1694585                     1183602                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          89                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1173467                     719726                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1167957                     714331                      
GPU 0     0.779        0.443        93                22                0.171        0                           0                           15871797                    111222310                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1219942                     771587                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1167956                     693473                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1162826                     683095                      
GPU 0     0.749        0.411        93                22                0.169        0                           0                           15782339                    117529503                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1209674                     724761                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1162592                     677744                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1178375                     698682                      
GPU 0     0.751        0.413        91                23                0.177        0                           0                           16540005                    121348891                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1199291                     724788                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          91                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1188810                     709115                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1559075                     975074                      
GPU 0     0.731        0.423        91                23                0.185        0                           0                           18180699                    162091291                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1209665                     724756                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          91                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1194091                     714369                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1168114                     693568                      
GPU 0     0.762        0.427        93                22                0.171        0                           0                           15614899                    115334845                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1181521                     710959                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         735274                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1188800                     709108                      
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.767        0.415        93                22                0.172        0                           0                           16172559                    121049470                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1314107                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1141889                     683047                      
GPU 0     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         724757                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1188749                     709078                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           688108                      682895                      
GPU 0     0.728        0.421        92                23                0.193        0                           0                           17491132                    146580471                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1204452                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         2059031                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           2888899                     2268359                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
