,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
12304,GPU 0,0.396,0.194,100,10,0.08,0.0,0.0,43388921.0,103935835.0
12308,GPU 0,0.396,,100,10,,,0.0,,
12312,GPU 0,0.396,0.214,100,10,0.074,0.0,,35553232.0,84535255.0
12316,GPU 0,0.396,,100,10,,,0.0,,
12320,GPU 0,0.36,0.19,100,12,0.1,0.0,,43682028.0,204251569.0
12324,GPU 0,0.36,,100,12,,,0.0,,
12328,GPU 0,0.432,0.236,100,12,0.083,0.0,,52907999.0,109284950.0
12332,GPU 0,0.432,,100,12,,,0.0,,
12336,GPU 0,0.395,0.203,100,10,0.075,0.0,,38729689.0,91859545.0
12340,GPU 0,0.395,,100,10,,,0.0,,
12344,GPU 0,0.424,0.216,100,10,0.082,0.0,,33405746.0,89832544.0
12348,GPU 0,0.424,,100,10,,,0.0,,
12352,GPU 0,0.392,0.216,100,9,0.077,0.0,,42636173.0,92764525.0
12356,GPU 0,0.387,,100,9,,,0.0,43259440.0,
12362,GPU 0,0.387,0.188,100,9,0.078,0.0,,,102398863.0
12366,GPU 0,0.405,,100,9,,,0.0,51925478.0,
12370,GPU 0,0.405,0.22,100,12,0.074,0.0,,,102616207.0
12374,GPU 0,0.357,,100,12,,,0.0,32407641.0,
12378,GPU 0,0.357,0.188,100,12,0.099,0.0,,,153446098.0
12382,GPU 0,0.428,,100,12,,,0.0,43036502.0,
12386,GPU 0,0.428,0.231,100,10,0.083,0.0,,,96552722.0
12390,GPU 0,0.392,,100,10,,,0.0,29190715.0,
12394,GPU 0,0.392,0.202,100,10,0.075,0.0,,,79568913.0
12398,GPU 0,0.492,0.258,100,20,,,769169319.0,40016239.0,100956782.0
12402,GPU 0,0.492,,100,20,0.102,31145.0,,,
12406,GPU 0,0.756,0.42,100,20,,,0.0,28111555.0,63126245.0
12410,GPU 0,0.756,,100,20,0.206,0.0,,,
12414,GPU 0,0.792,0.448,100,27,,,0.0,6573208.0,23253049.0
12420,GPU 0,0.792,,100,27,0.215,0.0,,,
12424,GPU 0,0.798,0.454,100,27,,,0.0,5602192.0,22181795.0
12428,GPU 0,0.798,,100,27,0.215,0.0,,,
12432,GPU 0,0.781,0.437,100,28,,,0.0,5925406.0,22968105.0
12436,GPU 0,0.781,,100,28,0.214,0.0,,,
12440,GPU 0,0.779,0.438,100,28,,,0.0,6845135.0,25480559.0
12444,GPU 0,0.779,,100,28,0.214,0.0,,,
12448,GPU 0,0.794,0.448,100,27,,,766819932.0,6329057.0,24824603.0
12452,GPU 0,0.794,,100,27,0.216,25875.0,766819932.0,,
12456,GPU 0,0.787,0.439,100,27,,,0.0,6310118.0,24407456.0
12460,GPU 0,0.787,,100,27,0.216,0.0,,,
12464,GPU 0,0.768,0.429,100,27,,,0.0,8843587.0,26894910.0
12468,GPU 0,0.768,,100,27,0.212,0.0,,,
12472,GPU 0,0.796,0.448,100,27,,,0.0,11789745.0,29531595.0
12478,GPU 0,0.796,,100,27,0.216,0.0,,,
12482,GPU 0,0.778,0.435,78,21,,,0.0,6247911.0,24705520.0
12486,GPU 0,0.778,,78,21,,,,,
12490,GPU 0,0.465,0.258,78,21,0.129,0.0,0.0,117446890.0,1653637225.0
12494,GPU 0,0.465,,78,21,,,,,491738879.0
12498,GPU 0,0.722,0.423,91,28,0.18,0.0,0.0,48721463.0,
12502,GPU 0,0.722,,91,28,,,,,28614822.0
12506,GPU 0,0.979,0.57,91,28,0.245,771200170.0,26022.0,7380105.0,
12510,GPU 0,0.979,,91,28,,,,,29922067.0
12514,GPU 0,0.873,0.507,100,18,0.214,771228404.0,20818.0,7395939.0,
12518,GPU 0,0.873,,100,18,,,,,99466456.0
12522,GPU 0,0.427,0.226,100,18,0.083,0.0,0.0,43046429.0,
12526,GPU 0,0.427,,100,18,,,,,93311286.0
12530,GPU 0,0.395,0.211,100,10,0.078,0.0,0.0,40457624.0,
12536,GPU 0,0.395,,100,10,0.078,0.0,0.0,40457624.0,
12540,GPU 0,0.412,0.207,100,10,0.08,0.0,0.0,53005073.0,113338253.0
12544,GPU 0,0.366,0.214,100,10,0.099,0.0,0.0,51588069.0,206966730.0
12548,GPU 0,0.366,,100,11,,,0.0,51588069.0,
12552,GPU 0,0.366,0.203,100,11,0.079,0.0,,,100092737.0
12556,GPU 0,0.413,0.203,100,11,0.079,0.0,0.0,43932106.0,100092737.0
12560,GPU 0,0.413,,100,11,,,,,
12564,GPU 0,0.379,0.208,100,10,0.072,0.0,0.0,37120458.0,86302072.0
12568,GPU 0,0.379,,100,10,,,,,
12572,GPU 0,0.381,0.188,100,10,0.075,0.0,0.0,35327436.0,89720968.0
12576,GPU 0,0.381,,100,10,,,,,
12580,GPU 0,0.43,0.228,100,10,0.083,0.0,0.0,42576765.0,97654085.0
12584,GPU 0,0.43,,100,10,,,,,
12588,GPU 0,0.386,0.205,100,10,,0.0,0.0,36615902.0,87736555.0
12594,GPU 0,0.386,,100,10,0.08,,,,
12598,GPU 0,0.417,0.21,100,12,,0.0,0.0,43398532.0,102559419.0
12602,GPU 0,0.417,,100,12,0.103,,,,
12606,GPU 0,0.375,0.22,100,12,,0.0,0.0,49447413.0,169795147.0
12610,GPU 0,0.375,,100,12,0.076,,,,
12614,GPU 0,0.411,0.202,100,10,,0.0,0.0,42121856.0,96583664.0
12618,GPU 0,0.411,,100,10,0.073,,,,
12622,GPU 0,0.382,0.21,100,10,,0.0,0.0,41626450.0,92085436.0
12626,GPU 0,0.382,,100,10,0.076,,,,
12630,GPU 0,0.385,0.191,100,10,,,0.0,37897519.0,93902962.0
12634,GPU 0,0.385,,100,10,0.082,0.0,,,
12638,GPU 0,0.426,0.227,100,10,,,0.0,47522669.0,105429537.0
12642,GPU 0,0.426,0.207,100,10,0.077,0.0,,,99906090.0
12646,GPU 0,0.39,,100,10,,,0.0,47422326.0,
12652,GPU 0,0.39,0.21,100,10,0.08,0.0,,,108383923.0
12656,GPU 0,0.418,,100,10,,,0.0,48252189.0,
12660,GPU 0,0.418,,100,10,0.102,0.0,,,
12664,GPU 0,0.374,0.22,100,11,,,0.0,48126482.0,181763130.0
12668,GPU 0,0.374,0.202,100,11,0.078,0.0,,,98826208.0
12672,GPU 0,0.411,0.202,100,11,,,0.0,43681444.0,98826208.0
12676,GPU 0,0.411,,100,11,0.069,0.0,,,
12680,GPU 0,0.368,0.203,100,16,0.069,0.0,,,91083026.0
12684,GPU 0,0.368,,100,16,,,768122388.0,64793397.0,
12688,GPU 0,0.665,0.359,100,16,0.166,20735.0,,,130452504.0
12692,GPU 0,0.665,,100,27,,,0.0,15426176.0,
12696,GPU 0,0.798,0.453,100,27,0.217,0.0,,,31284473.0
12700,GPU 0,0.798,,100,27,,,0.0,20099869.0,
12704,GPU 0,0.779,0.436,100,27,0.215,0.0,0.0,5571115.0,35330827.0
12710,GPU 0,0.78,0.44,100,28,0.213,0.0,,,22102229.0
12714,GPU 0,0.78,,100,28,,,0.0,6573641.0,
12718,GPU 0,0.799,0.453,100,28,0.217,0.0,,,24843579.0
12722,GPU 0,0.799,,100,28,,,,,
12726,GPU 0,0.799,,100,28,,,771231219.0,7583235.0,
12730,GPU 0,0.792,0.444,100,28,0.217,26023.0,,,26304511.0
12734,GPU 0,0.792,,100,28,,,0.0,5796185.0,
12738,GPU 0,0.769,0.429,100,28,0.213,0.0,,,23861746.0
12742,GPU 0,0.769,,100,27,,,0.0,5968247.0,
12746,GPU 0,0.79,0.445,100,27,0.216,0.0,,,24565036.0
12750,GPU 0,0.79,,100,27,,,0.0,5884562.0,
12754,GPU 0,0.787,0.44,100,27,0.216,0.0,,,24100169.0
12758,GPU 0,0.787,,100,27,,,0.0,5745092.0,
12762,GPU 0,0.768,0.429,100,27,0.211,0.0,0.0,7531940.0,24005536.0
12768,GPU 0,0.797,0.448,100,27,0.217,0.0,,,26411240.0
12772,GPU 0,0.797,,100,27,,,0.0,161635580.0,
12776,GPU 0,0.323,0.184,71,21,0.085,0.0,,,2119406430.0
12780,GPU 0,0.323,,71,21,,,,,
12784,GPU 0,0.323,,71,21,,,0.0,11211322.0,
12788,GPU 0,0.982,0.575,71,21,0.245,0.0,26020.0,12115125.0,33082250.0
12792,GPU 0,0.978,0.568,100,23,0.244,771126683.0,,,31203733.0
12796,GPU 0,0.978,,100,23,,,,,
12800,GPU 0,0.978,,100,23,,,31140.0,32490100.0,
12804,GPU 0,0.594,0.342,100,23,0.131,769060404.0,,,72661566.0
12808,GPU 0,0.594,,100,10,0.078,0.0,0.0,45178854.0,
12812,GPU 0,0.387,0.19,100,10,,,,,105516265.0
12816,GPU 0,0.387,,100,10,0.079,0.0,0.0,47204240.0,
12820,GPU 0,0.413,0.226,100,10,,,,,100723551.0
