,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
2193,GPU 1,0.379,0.21,100,9,0.074,0.0,,38856660.0,
2197,GPU 1,0.379,,100,9,,,0.0,,90072790.0
2201,GPU 1,0.375,0.183,100,9,0.074,0.0,,37059084.0,
2205,GPU 1,0.375,0.23,100,9,0.08,0.0,0.0,,97063070.0
2211,GPU 1,0.423,,100,12,,,,45292289.0,
2215,GPU 1,0.423,0.261,99,12,0.099,429653167.0,36393.0,,97020301.0
2219,GPU 1,0.478,,99,12,,,,36248086.0,
2223,GPU 1,0.478,0.404,99,12,0.187,0.0,0.0,,147398354.0
2227,GPU 1,0.478,,99,23,,,,,
2231,GPU 1,0.757,0.412,90,23,0.169,0.0,0.0,15222327.0,115453736.0
2235,GPU 1,0.757,,90,23,,,,,
2239,GPU 1,0.729,0.408,90,23,0.166,0.0,0.0,16609969.0,115458274.0
2243,GPU 1,0.729,,90,23,,,,,
2247,GPU 1,0.745,0.433,88,23,0.195,0.0,0.0,19358327.0,159764757.0
2251,GPU 1,0.745,,88,23,,,,,
2255,GPU 1,0.698,0.385,88,23,0.155,0.0,0.0,16039308.0,107086428.0
2259,GPU 1,0.698,,88,21,,,,,
2263,GPU 1,0.753,0.409,89,21,0.169,0.0,0.0,16794046.0,118895811.0
2269,GPU 1,0.753,,89,21,,,,,
2273,GPU 1,0.677,0.391,89,21,0.184,0.0,0.0,18282401.0,145042811.0
2277,GPU 1,0.677,,89,23,,,,,
2281,GPU 1,0.763,0.433,88,23,0.167,0.0,0.0,15836067.0,109660345.0
2285,GPU 1,0.763,,88,23,,,,,
2289,GPU 1,0.742,,88,23,,,,16898372.0,
2293,GPU 1,0.742,,92,24,,,,,118304220.0
2297,GPU 1,0.748,0.41,92,24,0.172,0.0,0.0,18944569.0,
2301,GPU 1,0.748,,92,24,,,0.0,,122254515.0
2305,GPU 1,0.733,0.426,92,24,0.189,0.0,0.0,,157441426.0
2309,GPU 1,0.733,,90,21,,,,15774581.0,
2313,GPU 1,0.733,0.412,90,21,0.164,0.0,0.0,,111582275.0
2317,GPU 1,0.733,,90,21,,,0.0,21700117.0,
2321,GPU 1,0.767,0.418,91,21,0.174,0.0,,,125829459.0
2327,GPU 1,0.767,,91,23,,,0.0,17851861.0,
2331,GPU 1,0.767,0.407,91,23,0.19,0.0,,,148177217.0
2335,GPU 1,0.754,,91,23,,,0.0,15860247.0,
