#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1788728                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         693509                      
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           2242429                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1449527                     969827                      
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1188855                     709141                      
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1194047                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         2017785                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         740413                      
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           2601743                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1522792                     1037793                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1209750                     724807                      
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1199020                     N/A                         
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1715446                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         719412                      
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           2195145                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1400194                     930056                      
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1194025                     719543                      
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1194057                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1783247                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         714348                      
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           2257737                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1579856                     1001096                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1214689                     735069                      
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1189104                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1778105                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         709290                      
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           2257829                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1376528                     896828                      
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1240588                     763039                      
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1173471                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         1731049                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1469942                     896828                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         763039                      
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         693651                      
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           2215952                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         990387                      
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           2878678                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1183626                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         1777691                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         2226804                     
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         703918                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           2257302                     3506362                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         3660242                     N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           2358219                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           3058529                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           4120236                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         3024131                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         1924761                     
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         2381171                     
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         6787388                     N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           6887569                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           8582053                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         1168148                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         5781270                     
