Iteration,Iter Time (s)
1011,0.2191
1012,0.2213
1013,0.2213
1014,0.2229
1015,0.2211
1016,0.2214
1017,0.2213
1018,0.2209
1019,0.2213
1020,0.2222
1021,0.2189
1022,0.2205
1023,0.2218
1024,0.2230
1025,0.2213
1026,0.2213
1027,0.2209
1028,0.2212
1029,0.2213
1030,0.2211
1031,0.2216
1032,0.2228
1033,0.2214
1034,0.2210
1035,0.2204
1036,0.2214
1037,0.2207
1038,0.2215
1039,0.2212
1040,0.2214
1041,0.2188
1042,0.2210
1043,0.2215
1044,0.2215
1045,0.2215
1046,0.2216
1047,0.2218
1048,0.2217
1049,0.2228
1050,0.2217
1051,0.2189
1052,0.2217
1053,0.2209
1054,0.2215
1055,0.2211
1056,0.2211
1057,0.2211
1058,0.2210
1059,0.2232
1060,0.2213
1061,0.2192
1062,0.2216
1063,0.2206
1064,0.2209
1065,0.2220
1066,0.2213
1067,0.2216
1068,0.2219
1069,0.2208
1070,0.2220
1071,0.2214
1072,0.2210
1073,0.2233
1074,0.2207
1075,0.2214
1076,0.2217
1077,0.2212
1078,0.2210
1079,0.2212
1080,0.2211
1081,0.2199
1082,0.2211
1083,0.2206
1084,0.2242
1085,0.2210
1086,0.2220
1087,0.2219
1088,0.2214
1089,0.2218
1090,0.2231
1091,0.2193
1092,0.2211
1093,0.2211
1094,0.2215
1095,0.2212
1096,0.2229
1097,0.2215
1098,0.2235
1099,0.2238
1100,0.2230
1101,0.2191
1102,0.2209
1103,0.2212
1104,0.2209
1105,0.2213
1106,0.1247
1107,0.1242
1108,0.1335
1109,0.1384
1110,0.1386
1111,0.1232
1112,0.1278
1113,0.1408
1114,0.1394
1115,0.1427
1116,0.1403
1117,0.1421
1118,0.1424
1119,0.1454
1120,0.1471
1121,0.1258
1122,0.1292
1123,0.1388
1124,0.1397
1125,0.1407
1126,0.1392
1127,0.1425
1128,0.1464
1129,0.1437
1130,0.1418
1131,0.1251
1132,0.1315
1133,0.1401
1134,0.1403
1135,0.1401
1136,0.1397
1137,0.1404
1138,0.1414
1139,0.1423
1140,0.1411
1141,0.1247
1142,0.1281
1143,0.1381
1144,0.1391
1145,0.1390
1146,0.1393
1147,0.1405
1148,0.1408
1149,0.1423
1150,0.1431
1151,0.1231
1152,0.1271
1153,0.1369
1154,0.1417
1155,0.1405
1156,0.1405
1157,0.1446
1158,0.1517
1159,0.1440
1160,0.1463
1161,0.1227
1162,0.1279
1163,0.1398
1164,0.1393
1165,0.1388
1166,0.1462
1167,0.1485
1168,0.1495
1169,0.1479
1170,0.1487
1171,0.1245
1172,0.1277
1173,0.1403
1174,0.1405
1175,0.1402
1176,0.1399
1177,0.1408
1178,0.1348
1179,0.1426
1180,0.1446
1181,0.1233
1182,0.1289
1183,0.1414
1184,0.1406
1185,0.1412
1186,0.1407
1187,0.1417
1188,0.1431
1189,0.1437
1190,0.1413
1191,0.1250
1192,0.1278
1193,0.1391
1194,0.1399
1195,0.1412
1196,0.1407
1197,0.1402
1198,0.1394
1199,0.1396
1200,0.1405
1201,0.1243
1202,0.1270
1203,0.1370
1204,0.1416
1205,0.1425
1206,0.1403
1207,0.1448
1208,0.1425
1209,0.1418
1210,0.1425
1211,0.1234
1212,0.1288
1213,0.1402
1214,0.1399
1215,0.1399
1216,0.1384
1217,0.1392
1218,0.1395
1219,0.1382
1220,0.1373
1221,0.1229
1222,0.1273
1223,0.1371
1224,0.1415
1225,0.1395
1226,0.1389
1227,0.1400
1228,0.1396
1229,0.1392
1230,0.1376
1231,0.1246
1232,0.1286
1233,0.1400
1234,0.1403
1235,0.1406
1236,0.1412
1237,0.1460
1238,0.1456
1239,0.1574
