Line_Number,Loss
4013,2.2227
4015,2.1051
4017,2.2315
4019,2.1942
4021,2.107
4023,2.0874
4034,2.2758
4036,2.1396
4038,2.1902
4040,2.0888
4042,2.1207
4044,2.1817
4046,2.101
4048,2.0585
4050,2.1517
4052,2.2413
4063,2.1642
4065,2.1401
4067,2.0485
4069,2.0443
4071,2.1512
4073,2.269
4075,2.1026
4077,2.1579
4079,2.1075
4081,2.2109
4092,2.151
4094,2.112
4096,2.2604
4098,2.2342
4100,2.2227
4102,2.1673
4104,2.2169
4106,2.2011
4108,2.2354
4110,2.2455
4121,2.1301
4123,2.1616
4125,2.1924
4127,2.1757
4129,2.0973
4131,2.0807
4133,2.1717
4135,2.1066
4137,2.1415
4139,2.074
4150,2.2167
4152,2.2257
4154,2.1679
4156,2.2966
4158,2.261
4160,2.2186
4162,2.2339
4164,2.2701
4166,2.242
4168,2.2214
4179,2.3061
4181,2.1786
4183,2.2653
4185,2.2997
4187,2.2898
4189,2.1477
4191,2.2817
4193,2.2392
4195,2.2855
4197,2.2521
4208,2.301
4210,2.2371
4212,2.0315
4214,2.2139
4216,2.0743
4218,2.2607
4220,2.1511
4222,2.2478
4224,2.1827
4226,2.1982
4237,2.1731
4239,2.247
4241,2.2505
4243,2.1409
4245,2.2142
4247,2.1893
4249,2.1226
4251,2.1963
4253,2.1803
4255,2.2113
4266,2.2627
4268,2.1564
4270,2.2003
4272,2.268
4274,2.338
4276,2.1333
4278,2.1309
4280,2.1186
4282,2.1979
4284,2.2419
4295,2.243
4297,2.3919
4299,2.3135
4301,2.2733
4303,2.1907
4305,2.1971
4307,2.1285
4309,2.1739
4311,2.2404
4313,2.2988
4324,2.2797
4326,2.163
4328,2.2784
4330,2.2021
4332,2.1888
4334,2.1711
4336,2.2054
4338,2.2186
4340,2.22
4342,2.1892
4353,2.1653
4355,2.1936
4357,2.2474
4359,2.2888
4361,2.2751
4363,2.2043
4365,2.203
4367,2.2758
4369,2.2554
4371,2.1138
4382,2.182
4384,2.1578
4386,2.232
4388,2.2598
4390,2.2879
4392,2.2174
4394,2.1678
4396,2.2417
4398,2.1782
4400,2.2069
4411,2.2601
4413,2.2555
4415,2.1671
4417,2.1798
4419,2.1684
4421,2.1724
4423,2.2264
4425,2.2779
4427,2.2899
4429,2.1678
4440,2.2321
4442,2.1946
4444,2.1488
4446,2.1878
4448,2.2254
4450,2.1269
4452,2.2075
4454,2.1018
4456,2.1263
4458,2.2238
4469,2.2353
4471,2.1654
4473,2.1594
4475,2.1652
4477,2.1969
4479,2.2283
4481,2.178
4483,2.2202
4485,2.2336
4487,2.1931
4498,2.2353
4500,2.2126
4502,2.2303
4504,2.1175
4506,2.2729
4508,2.2094
4510,2.1938
4512,2.1992
4514,2.2063
4516,2.2442
4527,2.1403
4529,2.1801
4531,2.2162
4533,2.187
4535,2.0707
4537,2.2155
4539,2.2113
4541,2.1761
4543,2.2118
4545,2.2367
4556,2.1998
4558,2.2043
4560,2.0988
4562,2.1143
4564,2.1591
4566,2.1765
4568,2.1597
4570,2.2736
4572,2.1917
4574,2.2467
4585,2.1575
4587,2.1714
4589,2.1705
4591,2.1774
4593,2.1926
4595,2.2606
4597,2.1036
4599,2.2775
4601,2.1928
4603,2.3414
4614,2.2737
4616,2.1707
4618,2.2374
4620,2.2642
4622,2.3214
4624,2.2867
4626,2.454
4628,2.2713
4630,2.2555
4632,2.3377
4643,2.2961
4645,2.2804
4647,2.1123
4649,2.2153
4651,2.267
4653,2.2601
4655,2.2616
4657,2.2084
4659,2.1341
4661,2.2957
4672,2.211
4674,2.2938
4676,2.2468
4678,2.3191
4680,2.2291
4682,2.2171
4684,2.1935
4686,2.2359
4688,2.2642
4690,2.2114
4701,2.2092
4703,2.2182
4705,2.2641
4707,2.2429
4709,2.1741
4711,2.2083
4713,2.3475
4715,2.1407
4717,2.1798
4719,2.1976
4730,2.272
4732,2.2349
4734,2.2839
4736,2.3022
4738,2.1928
4740,2.2799
4742,2.2682
4744,2.2669
4746,2.2157
4748,2.2868
4759,2.249
4761,2.2513
4763,2.3385
4765,2.2348
4767,2.3444
4769,2.2668
4771,2.2746
4773,2.1818
4775,2.1853
4777,2.252
4788,2.277
4790,2.3146
4792,2.3354
4794,2.2626
4796,2.3712
4798,2.2426
4800,2.2495
4802,2.2637
4804,2.318
4806,2.189
4817,2.2733
4819,2.2953
4821,2.2902
4823,2.3084
4825,2.2938
4827,2.1981
4829,2.1586
4831,2.2426
4833,2.2415
4835,2.2005
4846,2.1742
4848,2.2771
4850,2.2539
4852,2.1888
4854,2.3033
4856,2.2446
4858,2.1634
4860,2.3283
4862,2.3244
4864,2.2101
4875,2.2349
4877,2.2451
4879,2.2406
4881,2.3127
4883,2.1623
4885,2.1327
4887,2.217
4889,2.2315
4891,2.178
4893,2.1722
4904,2.21
4906,2.1456
4908,2.1876
4910,2.2538
4912,2.2707
4914,2.2704
4916,2.1364
4918,2.2222
4920,2.1482
4922,2.1938
4933,2.1661
4935,2.2949
4937,2.3015
4939,2.2885
4941,2.2574
4943,2.275
4945,2.2442
4947,2.1286
4949,2.199
4951,2.2479
4962,2.2433
4964,2.138
4966,2.1409
4968,2.3377
4970,2.2614
4972,2.1464
4974,2.2517
4976,2.2282
4978,2.1694
4980,2.1288
4991,2.1687
4993,2.1896
4995,2.2884
4997,2.3334
4999,2.3081
5001,2.2845
5003,2.1824
5005,2.1665
5007,2.1276
5009,2.2454
5020,2.3152
5022,2.2512
5024,2.2835
5026,2.1557
5028,2.16
5030,2.3399
5032,2.2712
5034,2.2393
5036,2.1371
5038,2.2809
5049,2.3252
5051,2.1576
5053,2.0872
5055,2.1232
5057,2.2618
5059,2.1385
5061,2.2808
5063,2.3917
5065,2.5243
5067,2.5486
5078,2.4341
5080,2.5915
5082,2.5423
5084,2.5503
5086,2.47
5088,2.4898
5090,2.5253
5092,2.3794
5094,2.4016
5096,2.514
5107,2.5194
5109,2.4832
5111,2.473
5113,2.4397
5115,2.4105
5117,2.5417
5119,2.488
5121,2.4436
