,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
2663,GPU 3,0.386,,100,10,,,,,73278569.0
2667,GPU 3,0.328,0.156,100,3,0.062,0.0,0.0,30055927.0,
2673,GPU 3,0.328,,100,3,,,,,740359.0
2677,GPU 3,0.103,0.032,100,3,0.0,0.0,0.0,1220029.0,
2681,GPU 3,0.103,,100,3,,,,,745741.0
2685,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1225519.0,
2689,GPU 3,0.103,,100,0,,,,,1032523.0
2693,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1611362.0,
2697,GPU 3,0.103,,100,0,,,,,1272181.0
2701,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1788353.0,
2705,GPU 3,0.103,,100,0,,,,,828897.0
2709,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1318936.0,
2713,GPU 3,0.103,,100,0,,,,,735162.0
2717,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1209629.0,
2721,GPU 3,0.103,,100,0,,,,,724765.0
2725,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1204467.0,
2731,GPU 3,0.103,,100,0,,,,,881099.0
2735,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1376392.0,
2739,GPU 3,0.103,,100,0,,,,,2460912.0
2743,GPU 3,0.103,0.032,100,0,0.0,,0.0,3029216.0,
2747,GPU 3,0.103,,100,0,,0.0,,,943799.0
2751,GPU 3,0.103,0.032,100,0,0.0,0.0,0.0,1423520.0,
2755,GPU 3,0.103,,100,0,,,,,677777.0
2759,GPU 3,0.103,0.032,100,0,0.0,,0.0,1157435.0,
2763,GPU 3,0.103,,100,0,,0.0,,,703692.0
2767,GPU 3,0.103,0.032,100,1,0.0,,0.0,1172820.0,
2771,GPU 3,0.141,,100,1,,0.0,,,13273089.0
2775,GPU 3,0.141,0.057,100,1,,,0.0,7655346.0,
2779,GPU 3,0.43,,100,1,0.083,0.0,,,89975416.0
2783,GPU 3,0.43,0.228,100,20,,,0.0,37590330.0,
2789,GPU 3,0.777,,100,20,0.217,15559.0,,,198689339.0
2793,GPU 3,0.777,0.456,100,20,,,768508519.0,69167063.0,
2797,GPU 3,0.736,,88,20,0.184,0.0,,,27266981.0
2801,GPU 3,0.736,0.43,88,27,,,341094896.0,13053176.0,
2805,GPU 3,0.97,0.565,88,27,0.243,31206.0,,6672896.0,27352114.0
2809,GPU 3,0.97,,88,27,,,429795914.0,,
2813,GPU 3,0.652,0.374,88,27,0.17,0.0,,12575349.0,26711561.0
2817,GPU 3,0.652,,88,24,,,,,
2821,GPU 3,0.787,0.443,88,24,0.216,0.0,0.0,5520838.0,21854401.0
2825,GPU 3,0.787,,88,24,,,,,
2829,GPU 3,0.777,0.437,100,28,0.213,0.0,0.0,5425420.0,21623655.0
2833,GPU 3,0.777,,100,28,,,,,
2837,GPU 3,0.788,0.446,100,28,0.215,0.0,0.0,8766533.0,24920886.0
2841,GPU 3,0.788,,100,28,,,,,
2847,GPU 3,0.797,0.453,100,27,0.217,0.0,0.0,7598110.0,25481531.0
2851,GPU 3,0.797,,100,27,,,,,
2855,GPU 3,0.774,0.433,100,27,0.213,771118784.0,36428.0,7233662.0,25323021.0
2859,GPU 3,0.774,,100,27,,,,,
2863,GPU 3,0.768,0.429,100,28,0.212,0.0,0.0,6245209.0,23971195.0
2867,GPU 3,0.768,,100,28,,,,,
2871,GPU 3,0.791,0.447,100,28,0.216,0.0,0.0,5930635.0,24180345.0
2875,GPU 3,0.791,,100,28,,,,,
2879,GPU 3,0.785,0.439,100,28,0.215,0.0,0.0,5751406.0,23640049.0
