#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1194034                     719549                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           1548581                     1094956                     
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1167966                     719551                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1204471                     724768                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1204471                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1201356                     N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         0                           1240994                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1162463                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         0                           N/A                         750858                      
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         745669                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           N/A                         N/A                         761282                      
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         682881                      
GPU 3     N/A          0.000        0                 0                 0.000        0                           N/A                         1204502                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1194007                     N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         0                           3582495                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           3628424                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         0                           N/A                         719533                      
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         719532                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           N/A                         N/A                         2909800                     
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         2929848                     
GPU 3     N/A          0.000        0                 0                 0.000        N/A                         N/A                         1199223                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         3285078                     2674992                     
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         0                           6225627                     5261020                     
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           6643974                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          0                           0                           N/A                         8577459                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         5684405                     
GPU 3     N/A          0.000        0                 0                 0.000        N/A                         N/A                         10251236                    N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         5918061                     4934306                     
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         0                           1480441                     1011287                     
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1444189                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          0                           0                           N/A                         1048031                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         969744                      
GPU 3     N/A          0.000        0                 0                 0.000        N/A                         N/A                         1543370                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1647629                     1053231                     
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         0                           1209666                     724757                      
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1183621                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          0                           0                           N/A                         703729                      
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         709130                      
GPU 3     N/A          0.000        0                 0                 0.000        N/A                         N/A                         1178095                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1465263                     985532                      
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         0                           1189036                     709249                      
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1188853                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           0                           N/A                         709135                      
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         703926                      
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         1199250                     719550                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           1199216                     719529                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1178467                     698737                      
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1642722                     1126438                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         1642028                     1125962                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           1877085                     1340030                     
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1621599                     1105399                     
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1642028                     1125962                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           0                           1877085                     1340030                     
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1621599                     1105399                     
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           839461                      344127                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1188806                     709112                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1579906                     990700                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1558752                     969659                      
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1194072                     714357                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           839622                      349408                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           865589                      380650                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           834276                      344139                      
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1194080                     719576                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1188806                     709112                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1183616                     703912                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1163025                     688427                      
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1585088                     1006322                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1204470                     724767                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1188617                     709000                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1173449                     688423                      
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1199046                     719427                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1199285                     719571                      
