#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1840341                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.440        91                23                N/A          N/A                         N/A                         N/A                         114250336                   
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           2356470                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         2821518                     1825381                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1569571                     1089835                     
GPU 0     0.713        N/A          91                23                0.189        0                           0                           17188664                    N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1449521                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.409        91                23                N/A          N/A                         N/A                         N/A                         142555007                   
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           1929218                     N/A                         
GPU 2     N/A          N/A          0                 0                 0.000        N/A                         N/A                         0                           0                           
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1678930                     1199236                     
GPU 0     0.753        N/A          91                23                0.167        0                           0                           15412307                    N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1345325                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.408        90                21                N/A          N/A                         N/A                         N/A                         115280313                   
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           1825054                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         2335610                     1376341                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1840662                     1261870                     
GPU 0     0.710        N/A          90                21                0.162        0                           0                           15478291                    N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           N/A                         1950054                     1470362                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          90                21                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         1162790                     683074                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1496630                     1016874                     
GPU 0     0.736        0.427        90                21                0.194        0                           0                           18189412                    158663958                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           N/A                         1527769                     1048060                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          90                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1162739                     683044                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1459929                     980238                      
GPU 0     0.749        0.415        90                23                0.166        0                           0                           15260725                    112323311                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1590502                     1110744                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          90                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1167992                     688281                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1746329                     1261527                     
GPU 0     0.762        0.413        90                23                0.171        0                           0                           16155999                    120102992                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1814451                     1230489                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          91                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1157676                     677918                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1340058                     865562                      
GPU 0     0.716        0.415        91                23                0.193        0                           0                           17700618                    147243118                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1683732                     1204155                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          91                23                N/A          N/A                         N/A                         N/A                         N/A                         
#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1167946                     677825                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1610412                     1130937                     
GPU 0     0.759        0.430        91                22                0.168        0                           0                           15027391                    110037774                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1439083                     959388                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1537769                     959151                      
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1397388                     917687                      
GPU 0     0.762        0.414        92                22                0.171        0                           0                           15893178                    119105227                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1554080                     1074297                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           3738555                     3060714                     
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           3217187                     2565407                     
GPU 0     0.729        0.413        89                23                0.189        0                           0                           18604327                    122211725                   
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         3351041                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         6284070                     5314080                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.413        89                23                N/A          N/A                         N/A                         N/A                         122211725                   
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           4012911                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         5314080                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           3462168                     N/A                         
GPU 0     0.757        N/A          89                23                N/A          N/A                         0                           25802000                    N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          0                           N/A                         N/A                         2528855                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1491221                     1011527                     
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.431        89                23                0.173        0                           N/A                         N/A                         161735504                   
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           2977270                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           5063182                     4072446                     
GPU 0     0.747        N/A          92                23                0.166        0                           0                           15327565                    N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         4338135                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1204434                     724746                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.412        92                22                N/A          N/A                         N/A                         N/A                         115085845                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         0                           N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1621603                     1027189                     
GPU 0     0.764        0.416        92                22                0.173        0                           0                           16826192                    119647140                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           N/A                         1199298                     719578                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           N/A                         1194057                     714348                      
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
