#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 1     0.744        0.405        93                22                0.166        0                           0                           16311445                    117076738                   
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1465398                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         1068679                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         1063939                     
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1194026                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1762371                     1329599                     
GPU 1     0.743        0.414        93                22                0.182        0                           0                           19793373                    124589475                   
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1590693                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         719544                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
